,Hospital Name,Nearby Cell Towers
4879,Encompass Health Rehabilitation Hospital of Humble,0,0,6
4880,Iraan General Hospital,0,0,0
4881,Faith Community Hospital,0,0,1
4882,Memorial Hermann Northeast,0,0,16
4883,UT Health Jacksonville,0,0,2
4884,CHRISTUS Southeast Texas Jasper Memorial,0,0,6
4885,Texas Health Presbyterian Hospital Kaufman,0,0,0
4886,Methodist Hospital Atascosa,0,0,0
4887,Kimble Hospital,0,0,3
4888,Texas Health Huguley Hospital Fort Worth South,0,0,7
4889,Winkler County Memorial Hospital,0,0,0
4890,Otto Kaiser Memorial Hospital,0,0,2
4891,Memorial Hermann Katy Hospital,0,0,4
4892,Baylor Scott & White Medical Center - Lake Pointe,0,0,0
4893,Peterson Health,0,0,1
4894,Cypress Creek Hospital,0,0,0
4895,AdventHealth Central Texas,0,0,0
4896,CHRISTUS Spohn Hospital Kleberg,0,0,6
4897,Knox County Hospital,0,0,0
4898,Medical Arts Hospital,0,0,0
4899,AdventHealth Rollins Brook,0,1,8
4900,Doctors Hospital of Laredo,0,0,5
4901,Laredo Medical Center,0,0,7
4902,Covenant Hospital-Levelland,0,0,0
4903,Medical City Lewisville,0,0,8
4904,Liberty Dayton Regional Medical Center,0,0,0
4905,Lamb Healthcare Center,0,0,0
4906,St. Luke's Health - Memorial Livingston,0,2,1
4907,Midcoast Central - Llano,0,0,3
4908,W. J. Mangold Memorial Hospital,0,0,0
4909,Longview Regional Medical Center,0,0,24
4910,St. David's Round Rock Medical Center,0,0,2
4911,Covenant Medical Center,0,1,7
4912,University Medical Center,0,0,9
4913,Grace Surgical Hospital,0,0,23
4914,Woodland Heights Medical Center,0,0,0
4915,CHI St. Luke's Health Memorial Lufkin,0,0,0
4916,Ascension Seton Edgar B. Davis Hospital,0,0,0
4917,CHI St. Joseph Health Madison Hospital,0,0,1
4918,Falls Community Hospital and Clinic,0,0,1
4919,CHRISTUS Good Shepherd Medical Center-Marshall,0,0,0
4920,McCamey County Hospital District,0,0,0
4921,Parkview Regional Hospital,0,0,0
4922,Mission Regional Medical Center,0,0,0
4923,Ward Memorial Hospital,0,0,0
4924,Cochran Memorial Hospital,0,0,0
4925,Palo Pinto General Hospital,0,0,0
4926,Titus Regional Medical Center,0,0,0
4927,Muenster Memorial Hospital,0,0,0
4928,Muleshoe Area Medical Center,0,0,0
4929,Nacogdoches Memorial Hospital,0,0,0
4930,Nacogdoches Medical Center,0,0,0
4931,CHI St. Joseph Health Grimes Hospital,0,0,5
4932,Nocona General Hospital,0,0,0
4933,Medical Center Health System,0,0,0
4934,Odessa Regional Medical Center,0,0,0
4935,Olney Hamilton Hospital,0,0,0
4936,Palacios Community Medical Center,0,0,0
4937,Palestine Regional Medical Center-East,0,0,0
4938,Pampa Regional Medical Center,0,0,1
4939,HCA Houston Healthcare Southeast,0,0,0
4940,Frio Regional Hospital,0,0,0
4941,Reeves Regional Health,0,0,1
4942,Ochiltree General Hospital,0,0,0
4943,UT Health Pittsburg,0,0,0
4944,Covenant Hospital Plainview,0,0,2
4945,UT Health Quitman,0,0,2
4946,Memorial Medical Center,0,0,0
4947,Medical City Plano,0,0,4
4948,Hardeman County Memorial Hospital,0,0,1
4949,Rankin County Hospital District,0,0,0
4950,Refugio County Memorial Hospital,0,0,1
4951,Methodist Richardson Medical Center,0,0,3
4952,OakBend Medical Center,0,0,20
4953,Starr County Memorial Hospital,0,0,0
4954,Fisher County Hospital District,0,0,0
4955,Rusk State Hospital,0,0,0
4956,River Crest Hospital,0,0,0
4957,Encompass Health Rehabilitation Hospital of San Antonio,0,0,0
4958,Warm Springs Rehabilitation Hospital of San Antonio,0,0,0
4959,University Health,0,0,0
4960,San Antonio State Hospital,0,0,0
4961,Clarity Child Guidance Center,0,0,0
4962,Texas Center for Infectious Disease,0,0,0
4963,CHRISTUS Santa Rosa Health System,0,0,32
4964,Methodist Hospital,0,0,1
4965,CHI St. Luke's Health Memorial San Augustine,0,0,0
4966,CHRISTUS Santa Rosa Hospital - San Marcos,0,0,9
4967,Laurel Ridge Treatment Center,0,0,3
4968,Guadalupe Regional Medical Center,0,0,3
4969,Memorial Hospital,0,0,0
4970,Seymour Hospital,0,0,0
4971,Shamrock General Hospital,0,0,0
4972,Wilson N. Jones Regional Medical Center,0,0,5
4973,Ascension Seton Smithville,0,0,0
4974,Cogdell Memorial Hospital,0,0,0
4975,Lillian M. Hudspeth Memorial Hospital,0,0,0
4976,Hansford Hospital,0,0,0
4977,Texas Health Harris Methodist Hospital Stephenville,0,0,0
4978,CHRISTUS Mother Frances Hospital - Sulphur Springs,0,0,2
4979,Sweeny Community Hospital,0,0,0
4980,Rolling Plains Memorial Hospital,0,1,1
4981,Lynn County Hospital District,0,0,0
4982,Baylor Scott & White Medical Center - Taylor,0,0,3
4983,Baylor Scott & White Medical Center - Temple,0,0,1
4984,Terrell State Hospital,0,0,0
4985,Wadley Regional Medical Center,0,0,0
4986,Throckmorton County Memorial Hospital,0,0,0
4987,Swisher Memorial Healthcare System,0,0,0
4988,UT Health North Campus Tyler,0,0,1
4989,HCA Houston Healthcare Tomball,0,0,7
4990,CHRISTUS Mother Frances Hospital - Tyler,0,0,0
4991,Uvalde Memorial Hospital,0,0,0
4992,Culberson Hospital,0,0,0
4993,Wilbarger General Hospital,0,0,2
4994,Citizens Medical Center,0,0,7
4995,DeTar Healthcare System,0,0,7
4996,North Texas State Hospital,0,0,1
4997,Baylor Scott & White Medical Center - Hillcrest,0,0,14
4998,Ascension Providence,0,0,4
4999,Medical City Weatherford,0,0,0
5000,Collingsworth General Hospital,0,0,0
5001,Knapp Medical Center,0,0,0
5002,Parkview Hospital,0,0,0
5003,Hickory Trail Hospital,0,0,0
5004,"Red River Hospital, LLC",0,0,3
5005,"North Texas State Hospital, Wichita Falls Campus",0,0,0
5006,North Runnels Hospital,0,0,2
5007,Tyler County Hospital,0,0,1
5008,Yoakum Community Hospital,0,0,0
5009,Rio Grande Regional Hospital,0,0,0
5010,Memorial Hermann Sugar Land Hospital,0,1,12
5011,Comanche County Medical Center,0,0,0
5012,Lake Granbury Medical Center,0,0,0
5013,Sabine County Hospital,0,0,0
5014,Kerrville State Hospital,0,0,0
5015,Martin County Hospital District,0,0,4
5016,CHRISTUS Mother Frances Hospital - Winnsboro,0,0,0
5017,Benefis Health System,0,0,4
5018,Big Sandy Medical Center,0,0,0
5019,Pioneer Medical Center,0,0,0
5020,Logan Health,0,0,0
5021,Great Falls Clinic Hospital,0,0,6
5022,Community Hospital of Anaconda,0,0,0
5023,Fallon Medical Complex,0,0,0
5024,Billings Clinic,0,0,2
5025,SCL Health MT - St. Vincent Healthcare,0,0,0
5026,Bozeman Health Deaconess Regional Medical Center,0,0,0
5027,Blackfeet Community Hospital,0,0,0
5028,SCL Health MT - St. James Healthcare,0,0,10
5029,Logan Health Chester,0,0,1
5030,Benefis Teton Medical Center,0,0,0
5031,Stillwater Billings Clinic,0,0,0
5032,Logan Health - Conrad,0,0,0
5033,Crow/Northern Cheyenne Hospital,0,0,0
5034,Advanced Care Hospital of Montana,0,0,2
5035,Roosevelt Medical Center,0,0,0
5036,Logan Health - Cut Bank,0,0,0
5037,Deer Lodge Medical Center,0,0,1
5038,Barrett Hospital & HealthCare,0,0,0
5039,Dahl Memorial Healthcare Association,0,0,0
5040,Madison Valley Medical Center,0,0,0
5041,Rosebud Health Care Center,0,0,0
5042,Missouri River Medical Center,0,0,0
5043,Fort Harrison VA Medical Center,0,0,0
5044,Frances Mahon Deaconess Hospital,0,0,0
5045,Glendive Medical Center,0,0,0
5046,Bitterroot Health - Daly Hospital,0,0,0
5047,Big Horn Hospital,0,0,0
5048,Fort Belknap Service Unit,0,0,0
5049,Wheatland Memorial Healthcare,0,0,0
5050,Northern Montana Hospital,0,0,0
5051,St. Peter's Health,0,0,7
5052,Shodair Children's Hospital,0,0,5
5053,Garfield County Health Center,0,0,0
5054,Central Montana Medical Center,0,0,0
5055,Cabinet Peaks Medical Center,0,0,3
5056,Livingston HealthCare,0,0,0
5057,Bozeman Health Big Sky Medical Center,0,0,0
5058,Phillips County Hospital,0,0,0
5059,Holy Rosary Healthcare,0,0,0
5060,Community Medical Center,0,0,4
5061,Providence St. Patrick Hospital,0,0,6
5062,Granite County Medical Center,0,0,0
5063,Clark Fork Valley Hospital,0,0,0
5064,Sheridan Memorial Hospital,0,0,0
5065,Providence St. Joseph Medical Center,0,0,2
5066,Poplar Community Hospital,0,0,0
5067,Beartooth Billings Clinic,0,0,0
5068,St. Luke Community Healthcare,0,0,2
5069,Roundup Memorial Healthcare,0,0,0
5070,Daniels Memorial Healthcare Center,0,0,0
5071,Sidney Health Center,0,0,0
5072,Prairie County Hospital District,0,0,0
5073,Billings Clinic Broadwater,0,0,2
5074,Montana State Hospital,0,0,0
5075,Logan Health - Whitefish,0,0,2
5076,Trinity Hospital,0,0,0
5077,McCone County Health Center,0,0,0
5078,Logan Health Shelby,0,0,0
5079,Ruby Valley Medical Center,0,0,0
5080,Mineral Community Hospital,0,0,0
5081,Mountainview Medical Center,0,0,0
5082,The Rehabilitation Hospital of Montana,0,0,2
5083,St. Luke's Wood River Medical Center,0,0,0
5084,Portneuf Medical Center,0,0,31
5085,Mountain View Hospital,0,0,0
5086,Northwest Specialty Hospital,0,0,1
5087,Treasure Valley Hospital,0,0,1
5088,Power County Hospital District,0,0,3
5089,Lost Rivers Medical Center,0,0,2
5090,Lifeways Behavioral Hospital,0,0,3
5091,Bingham Memorial Hospital,0,0,0
5092,Grove Creek Medical Center,0,0,4
5093,Northern Idaho Advanced Care Hospital,0,0,1
5094,State Hospital South,0,0,0
5095,Intermountain Hospital,0,0,10
5096,St. Luke's Rehabilitation Hospital,0,0,14
5097,Saint Alphonsus Regional Medical Center,0,1,15
5098,St. Luke's Boise Medical Center,0,0,15
5099,Boise VA Medical Center,0,0,5
5100,Boundary Community Hospital,0,0,1
5101,Cassia Regional Hospital,0,0,0
5102,West Valley Medical Center,0,0,15
5103,Cascade Medical Center,0,0,0
5104,Kootenai Health,0,0,9
5105,St. Mary's Health,0,0,0
5106,Teton Valley Health Care,0,0,0
5107,Valor Health,0,0,1
5108,Vibra Hospital of Boise,0,0,7
5109,North Canyon Medical Center,0,0,0
5110,Syringa Hospital and Clinics,0,0,0
5111,Eastern Idaho Regional Medical Center,0,0,0
5112,St. Luke's Jerome,0,0,2
5113,Shoshone Medical Center,0,0,2
5114,St. Joseph Regional Medical Center,0,0,0
5115,Nell J. Redfield Memorial Hospital,0,0,0
5116,St. Luke's McCall,0,0,0
5117,Bear Lake Memorial Hospital,0,0,2
5118,Gritman Medical Center,0,0,0
5119,St. Luke's Elmore,0,0,1
5120,Saint Alphonsus Medical Center - Nampa,0,0,14
5121,Clearwater Valley Health,0,0,0
5122,State Hospital North,0,0,0
5123,Franklin County Medical Center,0,0,0
5124,MadisonHealth,0,0,3
5125,Minidoka Memorial Hospital,0,0,0
5126,Benewah Community Hospital,0,0,0
5127,Steele Memorial Medical Center,0,0,0
5128,Bonner General Health,0,0,3
5129,Caribou Medical Center,0,0,0
5130,St. Luke's Magic Valley Medical Center,0,0,1
5131,"Saint Alphonsus Regional Rehabilitation Hospital, an affiliate of Encompass Health",0,1,13
5132,Weiser Memorial Hospital,0,0,0
5133,Rehabilitation Hospital of the Northwest,0,0,1
5134,St. Luke's Nampa,0,0,6
5135,Cottonwood Creek Behavioral Hospital,0,0,21
5136,Idaho Falls Community Hospital,0,0,0
5137,Cheyenne Regional Medical Center,0,0,1
5138,Elkhorn Valley Rehabilitation Hospital,0,0,0
5139,Star Valley Health,0,0,0
5140,Wyoming Behavioral Institute,0,0,0
5141,Johnson County Healthcare Center,0,0,0
5142,Wyoming Medical Center,0,0,0
5143,Cheyenne VA Medical Center,0,0,0
5144,Cody Regional Health,0,0,0
5145,Memorial Hospital of Converse County,0,0,1
5146,Evanston Regional Hospital,0,0,0
5147,Wyoming State Hospital,0,0,14
5148,Campbell County Health,0,0,0
5149,Three Rivers Health,0,0,0
5150,St. John's Health,0,0,1
5151,South Lincoln Medical Center,0,0,0
5152,Ivinson Memorial Hospital,0,0,0
5153,North Big Horn Hospital District,0,0,0
5154,Niobrara Community Hospital,0,0,0
5155,Weston County Health Services,0,0,0
5156,Powell Valley Health Care,0,0,0
5157,Memorial Hospital of Carbon County,0,0,1
5158,Memorial Hospital of Sweetwater County,0,0,3
5159,SageWest Health Care,0,0,0
5160,Sheridan Memorial Hospital,0,0,0
5161,Sheridan VA Medical Center,0,0,0
5162,Crook County Medical Services District,0,0,0
5163,Hot Springs County Memorial Hospital,0,0,0
5164,Community Hospital,0,0,0
5165,Platte County Memorial Hospital,0,0,3
5166,Washakie Medical Center,0,0,0
5167,Summit Medical Center,0,0,0
5168,Aspen Mountain Medical Center,0,0,12
5169,North Platte Valley Medical Center,0,0,0
5170,Penrose-St. Francis Health Services,0,0,27
5171,San Luis Valley Health,0,0,3
5172,PAM Specialty Hospital of Denver,0,0,20
5173,Lutheran Medical Center,0,0,9
5174,Spalding Rehabilitation Hospital,0,0,22
5175,Medical Center of Aurora,0,0,23
5176,Colorado Mental Health Institute at Fort Logan,0,0,0
5177,Mercy Regional Medical Center,0,0,0
5178,UCHealth Poudre Valley Hospital,0,0,3
5179,Rio Grande Hospital,0,0,1
5180,Aspen Valley Hospital,0,0,1
5181,Good Samaritan Medical Center,0,0,11
5182,AdventHealth Parker,0,0,15
5183,Sky Ridge Medical Center,0,0,48
5184,Kindred Hospital-Aurora,0,0,25
5185,Encompass Health Rehabilitation Hospital of Colorado Springs,0,0,19
5186,Animas Surgical Hospital,0,0,4
5187,AdventHealth Avista,0,0,1
5188,St. Anthony Summit Medical Center,0,0,2
5189,UCHealth Medical Center of the Rockies,0,0,6
5190,Northern Colorado Rehabilitation Hospital,0,0,2
5191,Northern Colorado Long Term Acute Hospital,0,0,2
5192,UCHealth Pikes Peak Regional Hospital,0,0,0
5193,Highlands Behavioral Health System,0,1,23
5194,Boulder Community Health,0,1,13
5195,Pagosa Springs Medical Center,0,0,10
5196,Centennial Peaks Hospital,0,0,0
5197,Intermountain Health Platte Valley Hospital,0,0,4
5198,East Morgan County Hospital,0,0,0
5199,Kit Carson County Memorial Hospital,0,0,1
5200,Evans U. S. Army Community Hospital,0,0,1
5201,St. Thomas More Hospital,0,0,7
5202,Keefe Memorial Hospital,0,0,0
5203,Cedar Springs Hospital,0,0,20
5204,UCHealth Memorial Hospital,0,0,32
5205,Southwest Health System,0,0,3
5206,Memorial Regional Health,0,0,1
5207,Peak View Behavioral Health,0,0,5
5208,Delta Health,0,0,0
5209,Children's Hospital Colorado,0,0,16
5210,Denver Health,0,2,161
5211,National Jewish Health,0,5,82
5212,Rose Medical Center,0,0,43
5213,AdventHealth Porter,0,0,2
5214,Presbyterian/St. Luke's Medical Center,0,0,58
5215,St. Anthony Hospital,0,0,14
5216,Saint Joseph Hospital,1,1,53
5217,West Springs Hospital,0,0,24
5218,Encompass Health Rehabilitation Hospital of Littleton,0,0,13
5219,University of Colorado Hospital,0,2,190
5220,Denver Regional Rehabilitation Hospital,1,0,54
5221,Banner Fort Collins Medical Center,0,0,0
5222,North Suburban Medical Center,0,0,41
5223,Rocky Mountain Regional VA Medical Center,0,0,50
5224,Kindred Hospital-Denver,0,1,67
5225,Vibra Hospital of Denver,0,1,55
5226,Reunion Rehabilitation Hospital Denver,0,0,28
5227,PAM Health Rehabilitation Hospital of Westminster,0,0,0
5228,Federal Correctional Institute Hospital,0,0,0
5229,Swedish Medical Center,0,0,19
5230,Estes Park Health,0,0,4
5231,St. Elizabeth Hospital,0,0,5
5232,Family Health West,0,0,2
5233,Valley View Hospital,0,0,1
5234,Intermountain Health St. Mary's Regional Hospital,0,2,16
5235,Grand Junction VA Medical Center,0,0,25
5236,Banner North Colorado Medical CenterNorth Colorado Medical Center,0,0,1
5237,Gunnison Valley Health,0,0,0
5238,Haxtun Hospital District,0,0,0
5239,Melissa Memorial Hospital,0,0,0
5240,Sedgwick County Health Center,0,0,0
5241,San Luis Valley Health Conejos County Hospital,0,0,0
5242,Arkansas Valley Regional Medical Center,0,0,3
5243,Craig Hospital,0,0,15
5244,Prowers Medical Center,0,0,1
5245,Longmont United Hospital,0,0,0
5246,St. Vincent Health,0,0,0
5247,Banner McKee Medical Center,0,0,0
5248,Pioneers Medical Center,0,0,0
5249,Montrose Regional Health,0,0,5
5250,AdventHealth Littleton,0,0,16
5251,Colorado Mental Health Institute at Pueblo,0,0,1
5252,St. Mary-Corwin Medical Center,0,0,4
5253,Parkview Medical Center,0,0,12
5254,Rangely District Hospital,0,0,0
5255,Grand River Hospital District,0,0,3
5256,Heart of the Rockies Regional Medical Center,0,0,5
5257,Southeast Colorado Hospital District,0,0,0
5258,UCHealth Yampa Valley Medical Center,0,0,4
5259,Sterling Regional MedCenter,0,0,0
5260,Mt. San Rafael Hospital,0,0,0
5261,Vail Health,0,0,14
5262,Spanish Peaks Regional Health Center and Veterans Community Living Center,0,0,1
5263,St. Anthony North Hospital,0,0,20
5264,Wray Community District Hospital,0,0,0
5265,Yuma District Hospital,0,0,0
5266,Weisbrod Memorial County Hospital,0,0,1
5267,Community Hospital,0,0,5
5268,Lincoln Health,0,0,0
5269,Middle Park Health-Kremmling,0,0,0
5270,OrthoColorado Hospital,0,0,15
5271,AdventHealth Castle Rock,0,0,2
5272,UCHealth Broomfield Hospital,0,0,0
5273,UCHealth Grandview Hospital,0,0,38
5274,UCHealth Longs Peak Hospital,0,0,0
5275,Denver Springs,0,0,9
5276,UCHealth Greeley,0,0,3
5277,UCHealth Highlands Ranch Hospital,0,0,11
5278,Reunion Rehabilitation Hospital Inverness,0,0,0
5279,Children's Hospital Colorado - Colorado Springs,0,0,0
5280,Kindred Hospital-Albuquerque,0,0,44
5281,Eastern New Mexico Medical Center,0,0,2
5282,Gerald Champion Regional Medical Center,0,0,0
5283,New Mexico Rehabilitation Center,0,0,0
5284,Plains Regional Medical Center,0,0,0
5285,MountainView Regional Medical Center,0,0,0
5286,Roosevelt General Hospital,0,0,0
5287,Peak Behavioral Health Services,0,0,0
5288,AMG Specialty Hospital-Albuquerque,0,1,52
5289,Rehabilitation Hospital of Southern New Mexico,0,0,0
5290,Advanced Care Hospital of Southern New Mexico,0,0,0
5291,Lovelace Regional Hospital - Roswell,0,0,2
5292,University of New Mexico Hospitals,0,0,18
5293,Presbyterian Hospital,0,1,42
5294,Lovelace Medical Center,0,1,52
5295,Lovelace Westside Hospital,0,0,8
5296,Raymond G. Murphy Department of Veterans Affairs Medical Center,0,0,7
5297,Artesia General Hospital,0,0,2
5298,Carlsbad Medical Center,0,0,1
5299,Union County General Hospital,0,0,0
5300,U. S. Public Health Service Indian Hospital,0,0,0
5301,Mimbres Memorial Hospital,0,0,4
5302,Presbyterian Espanola Hospital,0,0,0
5303,Encompass Health Rehabilitation Hospital of Albuquerque,0,0,21
5304,San Juan Regional Medical Center,0,0,2
5305,Rehoboth McKinley Christian Health Care Services,0,0,0
5306,Northern Navajo Medical Center,0,0,0
5307,Cibola General Hospital,0,0,0
5308,Covenant Health Hobbs Hospital,0,0,0
5309,Sierra Vista Hospital,0,0,0
5310,Memorial Medical Center,0,0,0
5311,Alta Vista Regional Hospital,0,0,2
5312,New Mexico Behavioral Health Institute at Las Vegas,0,0,0
5313,Mesilla Valley Hospital,0,0,0
5314,Nor-Lea Hospital District,0,0,0
5315,Los Alamos Medical Center,0,0,9
5316,Mescalero Public Health Service Indian Hospital,0,0,0
5317,Miners' Colfax Medical Center,0,0,0
5318,CHRISTUS St. Vincent Regional Medical Center,0,0,9
5319,Lovelace UNM Rehabilitation Hospital,0,0,45
5320,Haven Behavioral Senior Care of Albuquerque,0,0,9
5321,PHS Santa Fe Indian Hospital,0,0,5
5322,ClearSky Rehabilitation Hospital of Rio Rancho,0,0,13
5323,Northern Navajo Medical Center,0,0,0
5324,Central Desert Behavioral Health Hospital,0,0,29
5325,Guadalupe County Hospital,0,0,0
5326,Gila Regional Medical Center,0,0,0
5327,Three Crosses Regional Hospital,0,0,1
5328,Socorro General Hospital,0,0,0
5329,Holy Cross Hospital,0,0,0
5330,Dr. Dan C. Trigg Memorial Hospital,0,0,0
5331,U. S. Public Health Service Indian Hospital,0,0,0
5332,Acoma-Canoncito-Laguna Hospital,0,0,1
5333,Lovelace Women's Hospital,0,0,22
5334,Turquoise Lodge Hospital,0,1,20
5335,Lincoln County Medical Center,0,0,0
5336,Presbyterian Santa Fe Medical Center,0,0,10
5337,Encompass Health Rehabilitation Hospital of Scottsdale,0,0,2
5338,Sierra Tucson,0,0,0
5339,Select Specialty Hospital-Phoenix,0,0,3
5340,Encompass Health Valley of the Sun Rehabilitation Hospital,0,0,0
5341,Benson Hospital,0,0,7
5342,Banner Thunderbird Medical Center,0,0,5
5343,Banner Desert Medical Center,0,0,3
5344,Encompass Health Rehabilitation Institute of Tucson,0,0,2
5345,Select Specialty Hospital - Tucson,0,0,0
5346,Mayo Clinic Hospital in Arizona,0,0,6
5347,TMC Health,0,0,2
5348,Flagstaff Medical Center,0,0,4
5349,Arizona Spine and Joint Hospital,0,0,4
5350,Banner Casa Grande Medical Center,0,0,8
5351,Banner Heart Hospital,0,0,7
5352,Abrazo West Campus,0,0,14
5353,Chandler Regional Medical Center,0,0,2
5354,The CORE Institute Specialty Hospital,0,0,0
5355,"Yuma Rehabilitation Hospital, an affiliation of Encompass Health and Yuma Regional Medical Center",0,0,0
5356,Encompass Health Rehabilitation Hospital of Northwest Tucson,0,0,0
5357,KPC Promise Hospital of Phoenix,0,0,2
5358,Oro Valley Hospital,0,0,0
5359,Banner Estrella Medical Center,0,0,15
5360,Arizona Orthopedic Surgical Hospital,0,0,10
5361,Verde Valley Medical Center,0,0,1
5362,Banner Gateway Medical Center,0,0,5
5363,Western Arizona Regional Medical Center,0,0,0
5364,Valley View Medical Center,0,0,0
5365,Mountain Vista Medical Center,0,0,9
5366,Select Specialty Hospital-Phoenix Downtown,0,0,19
5367,Mercy Gilbert Medical Center,0,0,15
5368,Mountain Valley Regional Rehabilitation Hospital,0,0,7
5369,HonorHealth Scottsdale Thompson Peak Medical Center,0,0,0
5370,Banner Ironwood Medical Center,0,0,9
5371,Tsehootsooi Medical Center,0,0,0
5372,Navajo Health Foundation - Sage Memorial Hospital,0,0,0
5373,Hopi Health Care Center,0,0,0
5374,Kingman Regional Medical Center,0,0,8
5375,Havasu Regional Medical Center,0,0,9
5376,Cobre Valley Regional Medical Center,0,0,2
5377,Banner Baywood Medical Center,0,0,7
5378,Carondelet Holy Cross Hospital,0,0,0
5379,La Paz Regional Hospital,0,0,0
5380,Phoenix Children's,0,0,9
5381,Page Hospital,0,0,1
5382,U. S. Public Health Service Indian Hospital,0,0,2
5383,Banner Payson Medical Center,0,0,4
5384,Arizona State Hospital,0,0,5
5385,Abrazo Central Campus,0,0,2
5386,Aurora Behavioral Health System West,0,0,0
5387,Chinle Comprehensive Health Care Facility,0,0,0
5388,St. Luke's Behavioral Health Center,0,0,13
5389,Banner - University Medical Center Phoenix,0,0,20
5390,HonorHealth John C. Lincoln Medical Center,0,0,4
5391,Valleywise Health,0,0,15
5392,U. S. Public Health Service Phoenix Indian Medical Center,0,0,8
5393,Sonora Behavioral Health Hospital,0,0,1
5394,City of Hope Phoenix,0,0,9
5395,Banner Goldfield Medical Center,0,0,5
5396,Valley Hospital Phoenix,0,0,6
5397,St. Joseph's Hospital and Medical Center,0,0,1
5398,Abrazo Arrowhead Campus,0,0,0
5399,Carl T. Hayden Veterans' Administration Medical Center,0,0,9
5400,Abrazo Scottsdale Campus,0,0,2
5401,Dignity Health Yavapai Regional Medical Center,0,0,1
5402,HonorHealth Deer Valley Medical Center,0,0,11
5403,Huhukam Memorial Hospital,0,0,0
5404,Banner Behavioral Health Hospital - Scottsdale,0,0,0
5405,Mt. Graham Regional Medical Center,0,0,0
5406,U. S. Public Health Service Indian Hospital-Sells,0,0,0
5407,San Carlos Apache Healthcare Corporation,0,0,1
5408,Summit Healthcare Regional Medical Center,0,0,0
5409,White Mountain Regional Medical Center,0,0,0
5410,HonorHealth Scottsdale Osborn Medical Center,0,0,0
5411,Banner Boswell Medical Center,0,1,7
5412,Canyon Vista Medical Center,0,0,1
5413,Encompass Health Rehabilitation Hospital of East Valley,0,0,5
5414,Tempe St. Luke's Hospital,0,0,6
5415,HonorHealth Scottsdale Shea Medical Center,0,0,10
5416,"CHG Hospital Tucson, LLC",0,0,10
5417,Tuba City Regional Health Care Corporation,0,0,0
5418,Banner Del E. Webb Medical Center,0,0,3
5419,Haven Behavioral Hospital of Phoenix,0,0,4
5420,Palo Verde Behavioral Health,0,0,1
5421,Banner - University Medical Center South,0,0,11
5422,Carondelet St. Joseph's Hospital,0,2,11
5423,Dignity Health East Valley Rehabilitation Hospital,0,1,9
5424,Rehabilitation Hospital of Northern Arizona,0,0,4
5425,Dignity Health Arizona General Hospital,0,0,9
5426,Avenir Behavioral Health Center,0,0,5
5427,Banner Ocotillo Medical Center,0,0,2
5428,Oasis Behavioral Health - Chandler,0,0,6
5429,Carondelet St. Mary's Hospital,0,0,4
5430,Banner Rehabilitation Hospital Phoenix,0,0,21
5431,Copper Springs Hospital,0,1,11
5432,Quail Run Behavioral Health,0,0,9
5433,Cornerstone Behavioral Health El Dorado,0,0,0
5434,Banner - University Medical Center Tucson,0,0,6
5435,Tucson VA Medical Center,0,0,36
5436,HonorHealth Sonoran Crossing Medical Center,0,0,0
5437,Reunion Rehabilitation Hospital Peoria,0,0,0
5438,Exceptional Community Hospital Maricopa,0,0,0
5439,Bob Stump Department of Veterans Affairs Medical Center,0,0,8
5440,U. S. Public Health Service Indian Hospital-Whiteriver,0,0,0
5441,Wickenburg Community Hospital,0,0,0
5442,Northern Cochise Community Hospital,0,1,2
5443,Little Colorado Medical Center,0,0,0
5444,PAM Health Specialty Hospital of Surprise,0,0,3
5445,Yuma Regional Medical Center,0,0,0
5446,Copper Queen Community Hospital,0,0,0
5447,Northwest Medical Center,0,0,0
5448,Oasis Hospital,0,0,12
5449,Guidance Center,0,0,14
5450,Polara Health,0,0,22
5451,CCC at PineView Hospital,0,0,1
5452,Aurora Behavioral Health System East,0,0,2
5453,HonorHealth Rehabilitation Hospital,0,0,23
5454,PAM Health Rehabilitation Hospital of Surprise,0,0,3
5455,Phoenix Medical Psychiatric Hospital,0,0,20
5456,"Dignity Health Arizona General Hospital Mesa, LLC",0,1,0
5457,Medical Behavioral Hospital of Northern Arizona,0,0,1
5458,Northwest Medical Center Sahuarita,0,0,0
5459,Dignity Health East Valley Rehabilitation Hospital - Gilbert,0,0,0
5460,Reunion Rehabilitation Hospital Phoenix,0,0,0
5461,Exceptional Community Hospital Yuma,0,0,0
5462,Timpanogos Regional Hospital,0,0,1
5463,Cache Valley Hospital,0,0,1
5464,The Orthopedic Specialty Hospital,0,0,8
5465,American Fork Hospital,0,0,0
5466,KPC Promise Hospital of Salt Lake,0,0,7
5467,South Davis Community Hospital,0,0,5
5468,Utah Valley Specialty Hospital,0,0,3
5469,Beaver Valley Hospital,0,0,1
5470,Lakeview Hospital,0,0,6
5471,Brigham City Community Hospital,0,0,6
5472,Cedar City Hospital,0,0,10
5473,Delta Community Medical Center,0,0,0
5474,Fillmore Community Hospital,0,0,1
5475,Holy Cross Hospital - Jordan Valley West,0,0,5
5476,Heber Valley Hospital,0,0,10
5477,Holy Cross Hospital - Davis,0,0,22
5478,Logan Regional Hospital,0,0,1
5479,Riverton Hospital,0,0,5
5480,Milford Valley Memorial Hospital,0,0,0
5481,Moab Regional Hospital,0,0,6
5482,San Juan Health Service District,0,0,2
5483,Sanpete Valley Hospital,0,0,0
5484,Intermountain Medical Center,0,0,15
